i,u|you
u,you|they|we|i|oyu
ss,sss
you,u|they|we|i|oyu
and,
no,
report,reprot|rpeort|repport|repot|repor|rep|9x|reported|x9|insult
me,us|him|her
to,
go,stay|come
is,isnt|plays|s|was
so,soo|too
lol,
mid,top|bot|bottom
top,bot|mid|bottom
a,
we,they|u|you
gg,bg
noob,retard|tard|idiot|nab|nooob|feeder|moron|nob
for,
the,
this,that
dont,dotn|dnt|didnt|don|doesnt|wont
bot,top|bottom|mid
d,
gj,thnx|n1
it,that
xd,xdd
why,
are,arent|re|were|werent
just,jsut
all,
not,
my,his|your|ur
omg,omfg
can,could|cant|cna|will|cannot|ll|must|should
that,it|taht|this|which
he,she
have,ahve|had|got
team,tema
in,into
2,3|4|5|10|1|6|two|8|11
with,whit|without
pls,plz|please|pliz|plx|plis|pleas
game,match|gam|games
ok,okay
nice,n1|ncie|great
1,5|2|3|4|6
play,paly
do,
t,
re,are|arent|were
on,
ty,thx|thanks|thnx|tnx
was,wasnt|is
blue,red|blu|wraiths|golem|wraith
now,
need,needed
come,go|came
they,we|you|u
wtf,dafuq
im,iam|hes|am|youre|shes|m|ure
3,4|2|5|10|8|11|16|9|6|1
what,waht|something|nothing
bad,terrible|retarded|good|dumb|horrible|annoying|sad|funny|smart|weak
but,if|because|cause|cuz
get,take
gank,gang|gnak|babysit|ganks|camp|help
s,is
of,
stop,keep
got,had|took|have
yes,
if,when|but|cause
ur,your|his|my
fuck,fck|fk|fuk|fuckk|fack
help,gank
kill,kil|catch|killed
ward,wards|cv
ashe,vayne|graves|mf|cait|varus|ez|corki|sivir|kog|trist
cant,cannot|couldnt|wont|can
like,liek
win,lose|loose
afk,
feed,flame|feeding|fed
its,
y,
your,ur|his|my
up,uo|upo
0,
at,
fucking,fuckin|fcking|fking|fuking|fkin|fkn|fuckign
will,ll|wont|must|might|may|should|can|ill|wil|gonna
b,shop|back|recall
too,so
care,
push,defend|camp
time,day|tiem
him,her|them|me|em
more,less
good,bad|great|smart|strong|weak
or,
plz,pls|please|pliz|plx|plis|pleas|plzz
sry,sorry|srry|soz
guys,
then,than
4,3|5|2|8|9|10|6|11|1|13
lee,shaco|mundo|udyr|skarner|noc|naut|ali
k,
see,saw|understand
die,died
know,understand|think|mean
lane,line|lanes
stfu,
np,
thx,ty|thanks|tnx|thnx
op,broken|useless
baron,nashor|nash|drake|dragon|drag
ulti,ult|ulty|ultimate|arrow|taunt|stun|shield|ignite|ghost|flash
focus,fokus|focusing|chase
how,
be,
farm,cs|xp|exp
when,if|everytime|before|cause|cuz|while|because
please,plz|pls|pliz|plx|pleas
jax,riven|olaf|irelia|vlad|morde|panth|udyr|gp|ww|darius
ult,ulti|ulty|arrow|stun|taunt|exhaust|flash|shield|ultimate|ignite
p,
ww,shen|gp|riven|amumu|jax|noc|panth|olaf|udyr|vlad
5,4|3|2|10|1|8|6|15|11|16
noobs,retards|idiots|tards|trolls|morons|kids
take,steal|get|rush|took
only,
back,b
fail,failed
red,blue|blu|wraiths|golems|golem|wraith|wolves
wp,
say,said|call|tell|write
want,wanted|wanna|deserve
idiot,moron|retard|noob|tard
did,didnt
o,meu
easy,
pro,bad
let,
shit,crap
graves,vayne|corki|mf|ashe|cait|ez|varus|trist|urgot|sivir
dat,dis
them,him|em|her|us
vayne,graves|mf|ashe|corki|cait|varus|ez|sivir|trist|kog
don,didn|shouldn|wouldn|dont|doesn
one,
jungle,jungler
sure,
yeah,yea|ye
look,
sorry,sry|srry
retard,tard|moron|noob|idiot|retarded|pussy
really,rly|realy
haha,hahaha|hahah|hahahaha|hahahah|ahah
wards,ward|vision|oracle|oracles
didnt,didint|dont|couldnt|wouldnt|dint|did
fed,feeded|farmed|feed|outfarmed
wait,w8|waited
troll,trol|trolling|flame
teemo,garen|fiora|sion|kayle|darius|nasus|gp|wukong|singed|trynda
who,
as,
ks,
m,am|im|iam
dmg,damage|damages|cc
first,1st|2nd|3rd
suck,sux|sucked|sucks
shut,grow|wake|shup
she,he
lost,loose|lose|lsot|losing|won|loosing
lose,loose|win|lost|lsoe
there,here|ther
again,
carry,
said,say|told|wrote
shaco,mundo|noc|udyr|amumu|gp|ww|jax|fiddle|jarvan|shyvana
well,
hard,badly
wow,
vs,against
dude,
yi,teemo|trynda|garen|fiora|akali|nasus|xin|veigar|shaco|kayle
man,
soraka,janna|taric|leona|sona|nunu|alistar|lulu|urgot|blitz|nida
omfg,omg
pull,leash|pul|cover
riven,jax|irelia|olaf|vlad|morde|ryze|ww|gp|panth|udyr
olaf,riven|jax|morde|gp|vlad|ww|irelia|panth|talon|udyr
varus,mf|cait|vayne|ashe|graves|sivir|ez|corki|veigar|lux
ad,ap|support|supp
from,
still,
think,bet|know|guess|mean
brb,shop
oh,ohh|ow
flame,insult|flaming|blame|feed|cry|rage|insulting|trolling|feeding|spam
ali,naut|noc|udyr|ww|alistar|mundo|blitz|riven|jax|amumu
flash,ignite|exhaust|ult|ghost|ulty|ulti|taunt|summoners|heal|tp
here,there
lvl,level|lv
better,worse|stronger|easier
surrender,surrend|surr|ff|surender
even,
